,lable
126,1
61,1
124,1
117,1
20,-1
146,1
35,-1
6,-1
15,-1
28,-1
97,1
56,1
81,1
98,1
149,1
60,1
147,1
104,1
52,1
22,-1
75,1
37,-1
77,1
145,1
64,1
136,1
94,1
127,1
87,1
92,1
95,1
139,1
76,1
32,-1
101,1
13,-1
24,-1
59,1
45,-1
34,-1
131,1
93,1
47,-1
116,1
9,-1
119,1
90,1
14,-1
16,-1
111,1
85,1
89,1
33,-1
29,-1
120,1
78,1
91,1
3,-1
55,1
138,1
67,1
11,-1
62,1
137,1
108,1
100,1
143,1
18,-1
19,-1
83,1
122,1
38,-1
68,1
2,-1
31,-1
140,1
51,1
105,1
36,-1
110,1
4,-1
141,1
0,-1
58,1
5,-1
103,1
129,1
41,-1
106,1
121,1
125,1
86,1
30,-1
65,1
44,-1
27,-1
80,1
113,1
7,-1
112,1
8,-1
73,1
144,1
118,1
99,1
