,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[53.38]],"[[ 59.7]
 [-84.2]]",-81
1,[[5.9 3. ]],1,[5.9 3. ],[[18.63]],"[[ 59.7]
 [-84.2]]",-81
2,[[6.7 3.3]],1,[6.7 3.3],[[41.13]],"[[ 59.7]
 [-84.2]]",-81
3,[[7.7 3.8]],1,[7.7 3.8],[[58.73]],"[[ 59.7]
 [-84.2]]",-81
4,[[5.4 3.4]],-1,[5.4 3.4],[[44.9]],"[[ 59.7]
 [-84.2]]",-81
5,[[6.3 2.5]],1,[6.3 2.5],[[84.61]],"[[ 59.7]
 [-84.2]]",-81
6,[[5.  3.2]],-1,[5.  3.2],[[51.94]],"[[ 59.7]
 [-84.2]]",-81
7,[[4.6 3.4]],-1,[4.6 3.4],[[92.66]],"[[ 59.7]
 [-84.2]]",-81
8,[[5.7 4.4]],-1,[5.7 4.4],[[111.19]],"[[ 59.7]
 [-84.2]]",-81
9,[[5.2 3.4]],-1,[5.2 3.4],[[56.84]],"[[ 59.7]
 [-84.2]]",-81
10,[[6.2 2.9]],1,[6.2 2.9],[[44.96]],"[[ 59.7]
 [-84.2]]",-81
11,[[6.3 3.3]],1,[6.3 3.3],[[17.25]],"[[ 59.7]
 [-84.2]]",-81
12,[[5.5 2.4]],1,[5.5 2.4],[[45.27]],"[[ 59.7]
 [-84.2]]",-81
13,[[5.1 2.5]],1,[5.1 2.5],[[12.97]],"[[ 59.7]
 [-84.2]]",-81
14,[[5.9 3. ]],1,[5.9 3. ],[[18.63]],"[[ 59.7]
 [-84.2]]",-81
15,[[5. 2.]],1,[5. 2.],[[49.1]],"[[ 59.7]
 [-84.2]]",-81
16,[[6.5 3. ]],1,[6.5 3. ],[[54.45]],"[[ 59.7]
 [-84.2]]",-81
17,[[6.5 3. ]],1,[6.5 3. ],[[54.45]],"[[ 59.7]
 [-84.2]]",-81
18,[[6.9 3.1]],1,[6.9 3.1],[[69.91]],"[[ 59.7]
 [-84.2]]",-81
19,[[4.6 3.6]],-1,[4.6 3.6],[[109.5]],"[[ 59.7]
 [-84.2]]",-81
20,[[6.6 3. ]],1,[6.6 3. ],[[60.42]],"[[ 59.7]
 [-84.2]]",-81
21,[[4.9 3.1]],-1,[4.9 3.1],[[49.49]],"[[ 59.7]
 [-84.2]]",-81
22,[[6.7 3. ]],1,[6.7 3. ],[[66.39]],"[[ 59.7]
 [-84.2]]",-81
23,[[6.7 3. ]],1,[6.7 3. ],[[66.39]],"[[ 59.7]
 [-84.2]]",-81
24,[[5.6 2.9]],1,[5.6 2.9],[[9.14]],"[[ 59.7]
 [-84.2]]",-81
25,[[6.3 3.4]],1,[6.3 3.4],[[8.83]],"[[ 59.7]
 [-84.2]]",-81
